City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
busselton,AU,63.63,55,0,4.85,-33.65,115.3333,1634953315
hermanus,ZA,58.8,88,100,23.55,-34.4187,19.2345,1634953109
kodiak,US,41.18,76,100,12.37,57.79,-152.4072,1634953177
kaitangata,NZ,60.67,61,99,6.4,-46.2817,169.8464,1634953195
kushima,JP,66.24,59,81,13.58,31.4583,131.2333,1634953198
jinchang,CN,48.58,51,100,2.8,38.4953,102.1739,1634953316
ancud,CL,48.42,77,96,9.4,-41.8697,-73.8203,1634953317
ponta do sol,PT,68.72,66,34,7.74,32.6667,-17.1,1634953317
taltal,CL,57.65,78,41,2.46,-25.4,-70.4833,1634953220
ovsyanka,RU,38.37,64,34,13.38,55.9575,92.5519,1634953318
cayenne,GF,78.1,88,90,1.14,4.9333,-52.3333,1634953318
tondano,ID,80.69,78,99,1.99,1.3038,124.9112,1634953318
umm lajj,SA,77.2,58,0,10.13,25.0213,37.2685,1634953319
pacifica,US,61.52,88,75,1.01,37.6138,-122.4869,1634953319
esperance,AU,62.44,54,9,9.62,-33.8667,121.9,1634953320
longyearbyen,SJ,17.44,79,20,1.14,78.2186,15.6401,1634953236
sisimiut,GL,21.07,73,8,8.7,66.9395,-53.6735,1634953227
albertville,US,56.28,75,1,3.44,34.2676,-86.2089,1634953274
sao filipe,CV,80.47,65,0,4.16,14.8961,-24.4956,1634953321
sinnamary,GF,78.04,89,91,11.16,5.3833,-52.95,1634953151
paramonga,PE,62.65,86,72,8.99,-10.6667,-77.8333,1634953321
boysun,UZ,36.95,53,2,1.97,38.2061,67.1986,1634953322
kailua,US,87.78,65,40,11.5,21.4022,-157.7394,1634953278
georgetown,MY,84.88,81,20,1.99,5.4112,100.3354,1634953323
iqaluit,CA,26.33,86,90,15.01,63.7506,-68.5145,1634953323
cidreira,BR,64.96,87,0,9.6,-30.1811,-50.2056,1634953142
nanortalik,GL,38.77,97,100,10.49,60.1432,-45.2371,1634953323
seoul,KR,56.77,58,0,4.61,37.5683,126.9778,1634953324
saint anthony,US,44.53,70,90,3.44,45.0205,-93.218,1634953324
pisco,PE,61.02,82,0,16.11,-13.7,-76.2167,1634953220
channel-port aux basques,CA,55.24,98,99,8.95,47.5702,-59.1367,1634953325
jamestown,US,45.72,88,90,1.01,42.097,-79.2353,1634953068
presque isle,US,55.83,81,90,14.97,46.6811,-68.0159,1634953325
belmonte,BR,77.5,91,100,9.33,-15.8631,-38.8828,1634953326
viedma,AR,44.91,84,0,8.52,-40.8135,-62.9967,1634953326
chapais,CA,29.98,81,100,2.68,49.7834,-74.8492,1634953327
castro,BR,55.31,81,0,3.78,-24.7911,-50.0119,1634953146
tuktoyaktuk,CA,33.8,100,90,13.8,69.4541,-133.0374,1634953327
teberda,RU,44.91,34,0,4.65,43.4456,41.7448,1634953328
roma,US,41.67,91,1,0.0,43.2128,-75.4557,1634953328
iztapa,GT,82.63,86,64,7.16,13.9333,-90.7075,1634953160
camana,PE,62.76,77,75,8.84,-16.6228,-72.7111,1634953045
zilupe,LV,40.78,84,100,10.67,56.3862,28.1217,1634953329
lagoa,PT,67.55,85,43,13.58,39.05,-27.9833,1634953105
colares,PT,63.34,61,6,8.99,38.7992,-9.4469,1634953330
hithadhoo,MV,82.18,73,100,11.77,-0.6,73.0833,1634953330
airai,TL,79.79,40,60,1.68,-8.9266,125.4092,1634953104
nishihara,JP,74.86,61,75,12.66,26.1842,127.7558,1634953331
luderitz,NA,54.84,87,0,7.58,-26.6481,15.1594,1634953331
leningradskiy,RU,4.73,85,44,8.63,69.3833,178.4167,1634953332
kapaa,US,82.38,81,40,11.5,22.0752,-159.319,1634953332
mwense,ZM,71.6,76,95,0.85,-10.3845,28.698,1634953332
torbay,CA,52.57,85,90,5.75,47.6666,-52.7314,1634953333
laramie,US,52.25,49,1,6.91,41.3114,-105.5911,1634953333
sotouboua,TG,72.75,93,100,2.15,8.5667,0.9833,1634953334
ginir,ET,59.72,52,89,3.38,7.1333,40.7,1634953334
torfyanoy,RU,43.68,72,100,14.45,58.4916,49.1979,1634953335
acapulco,MX,78.62,89,90,5.75,16.8634,-99.8901,1634953286
anadyr,RU,12.7,85,75,15.66,64.75,177.4833,1634953335
leshukonskoye,RU,27.55,93,100,8.52,64.8989,45.7622,1634953335
nelson bay,AU,87.3,72,1,4.0,-32.7167,152.15,1634953336
tasiilaq,GL,35.76,92,100,11.36,65.6145,-37.6368,1634953336
tuatapere,NZ,66.18,52,93,5.46,-46.1333,167.6833,1634953337
shache,CN,49.48,28,100,7.81,38.4167,77.2406,1634953337
bambanglipuro,ID,70.61,69,100,6.31,-7.95,110.2833,1634953338
avarua,CK,75.25,60,100,5.75,-21.2078,-159.775,1634953338
tura,IN,71.82,71,0,2.48,25.5198,90.2201,1634953338
mar del plata,AR,56.08,89,90,1.01,-38.0023,-57.5575,1634953339
malakal,SS,75.22,70,23,1.5,9.5334,31.6605,1634953339
tiznit,MA,60.84,70,0,0.56,29.5833,-9.5,1634953340
ribeira grande,PT,68.76,87,13,10.33,38.5167,-28.7,1634953340
lata,PT,57.81,69,0,3.87,40.1629,-8.3327,1634953340
mujiayingzi,CN,47.52,31,0,4.47,42.1167,118.7833,1634953341
melong,CM,66.49,99,100,0.96,5.1218,9.9614,1634953341
damara,CF,74.62,95,93,2.01,4.9608,18.7035,1634953342
norman wells,CA,42.84,70,20,14.97,65.282,-126.8329,1634953342
fortuna,US,57.36,73,90,5.01,40.5982,-124.1573,1634953343
vestbjerg,DK,48.67,65,4,12.66,57.1317,9.9594,1634953343
sechura,PE,66.94,80,100,13.89,-5.5569,-80.8222,1634953343
moron,AR,60.49,90,100,5.01,-34.6534,-58.6198,1634953344
makoshyne,UA,44.8,68,3,11.88,51.46,32.3396,1634953344
saratoga springs,US,49.32,80,22,4.68,43.0831,-73.7846,1634953066
zhuhai,CN,68.05,82,40,19.57,22.2769,113.5678,1634953124
toul,FR,46.49,93,0,3.44,48.6667,5.9167,1634953345
kollam,IN,80.47,83,93,4.63,8.8833,76.6,1634953339
ankang,CN,58.55,63,100,4.03,32.68,109.0172,1634953346
bethel,US,60.93,73,90,4.61,41.3712,-73.414,1634953346
sitka,US,48.09,66,75,11.5,57.0531,-135.33,1634953167
la palma,US,69.31,79,1,4.0,33.8464,-118.0467,1634953347
srednebelaya,RU,48.58,52,1,5.3,50.6594,128.0106,1634953347
faanui,PF,78.33,83,77,19.51,-16.4833,-151.75,1634953347
samarai,PG,81.95,74,100,13.82,-10.6167,150.6667,1634953348
carutapera,BR,77.02,93,94,5.91,-1.195,-46.02,1634953348
lazaro cardenas,MX,78.37,86,100,4.52,17.9583,-102.2,1634953098
montepuez,MZ,66.7,80,8,3.91,-13.1256,38.9997,1634953349
upernavik,GL,21.15,82,100,5.7,72.7868,-56.1549,1634953349
severo-kurilsk,RU,42.04,72,39,13.18,50.6789,156.125,1634953069
aguilas,ES,64.33,75,92,7.72,37.4063,-1.5829,1634953350
hilo,US,78.53,80,90,10.36,19.7297,-155.09,1634953350
marzuq,YE,69.82,62,7,2.64,14.4,46.4667,1634953351
bursa,TR,37.44,53,0,2.59,40.1667,29.0833,1634953134
atamanovka,RU,27.03,50,0,2.17,51.93,113.63,1634953351
khani,GE,36.97,56,0,5.26,41.9563,42.9566,1634953352
naze,JP,70.72,56,89,14.94,28.3667,129.4833,1634953352
patur,IN,70.92,65,51,1.52,20.45,76.9333,1634953352
nhulunbuy,AU,90.21,58,75,12.66,-12.2333,136.7667,1634953353
nizhnyaya poyma,RU,38.68,82,100,9.8,56.1622,97.1933,1634953353
praia da vitoria,PT,67.75,94,40,5.46,38.7333,-27.0667,1634953308
sarangani,PH,80.8,81,100,11.97,5.4033,125.4636,1634953354
puerto ayora,EC,69.89,86,20,8.21,-0.7393,-90.3518,1634953116
constitucion,CL,49.17,84,1,13.13,-35.3333,-72.4167,1634953354
lima,PE,62.91,80,90,13.8,-12.0432,-77.0282,1634953306
sungairaya,ID,84.72,66,13,2.37,0.7,108.9,1634953355
tokur,RU,31.55,90,100,5.39,53.1333,132.9,1634953355
imeni morozova,RU,45.01,1,100,14.45,59.9757,31.0376,1634953356
tiksi,RU,4.1,96,100,2.24,71.6872,128.8694,1634953356
forbes,AU,88.92,26,78,7.7,-33.3833,148.0167,1634953356
ornskoldsvik,SE,30.02,93,75,12.66,63.2909,18.7153,1634953357
guerrero negro,MX,66.99,81,0,15.68,27.9769,-114.0611,1634953091
knysna,ZA,64.78,62,100,7.83,-34.0363,23.0471,1634953357
axim,GH,77.49,85,100,6.26,4.8699,-2.2405,1634953358
lebu,CL,50.67,66,63,16.55,-37.6167,-73.65,1634953358
shingu,JP,65.39,38,0,2.93,33.7333,135.9833,1634953359
pitimbu,BR,79.39,78,15,10.69,-7.4706,-34.8086,1634953359
ruwi,OM,80.29,62,0,3.42,23.5996,58.5507,1634953360
oranjemund,NA,56.82,81,0,16.64,-28.55,16.4333,1634953187
hofn,IS,46.98,98,100,16.37,64.2539,-15.2082,1634953360
santiago de cao,PE,60.93,88,90,10.36,-7.9589,-79.2392,1634953361
khatanga,RU,1.99,94,98,11.23,71.9667,102.5,1634953361
puerto madero,MX,80.26,77,56,4.76,14.7208,-92.4215,1634953361
paamiut,GL,34.86,70,6,20.45,61.994,-49.6678,1634953362
grindavik,IS,47.89,100,90,16.11,63.8424,-22.4338,1634953362
monster,NL,51.98,78,75,1.99,52.0258,4.175,1634953362
ahipara,NZ,60.71,94,100,19.77,-35.1667,173.1667,1634953363
finschhafen,PG,84.78,65,100,10.67,-6.6024,147.8681,1634953363
ambo,PE,65.86,75,76,3.96,-10.1308,-76.2047,1634953364
linxia,CN,47.59,75,91,2.04,35.6003,103.2064,1634953364
san quintin,MX,63.99,84,5,16.44,30.4833,-115.95,1634953364
zhigalovo,RU,38.1,66,75,1.77,54.8097,105.1578,1634953365
port blair,IN,76.08,90,100,9.24,11.6667,92.75,1634953365
moratuwa,LK,77.02,76,16,6.02,6.773,79.8816,1634953366
plouzane,FR,44.65,97,0,5.75,48.3833,-4.6167,1634953366
santa clara,CU,74.17,100,40,1.14,22.4,-79.9667,1634953367
mount gambier,AU,55.31,76,90,13.8,-37.8333,140.7667,1634953367
praia,CV,77.54,69,20,9.22,14.9215,-23.5087,1634953139
lapuan,PH,82.56,75,100,9.01,6.1444,125.7008,1634953368
ouadda,CF,67.64,90,65,2.73,8.0777,22.4007,1634953368
cartagena,CO,83.82,79,75,9.22,10.3997,-75.5144,1634953369
mehamn,NO,32.86,66,100,14.58,71.0357,27.8492,1634953369
kahului,US,84.22,69,20,19.57,20.8947,-156.47,1634953369
kamenka,RU,50.11,71,100,9.6,51.3223,42.7678,1634953370
berlevag,NO,33.78,63,100,18.97,70.8578,29.0864,1634953370
chardara,KZ,43.09,52,12,6.38,41.2547,67.9692,1634953370
phalombe,MW,68.27,62,0,2.59,-15.8064,35.6507,1634953371
namibe,AO,64.51,69,68,9.51,-15.1961,12.1522,1634953195
lucapa,AO,64.81,99,66,3.18,-8.4192,20.7447,1634953372
tautira,PF,73.42,87,67,33.31,-17.7333,-149.15,1634953143
vestby,NO,44.78,56,10,4.81,59.6024,10.7467,1634953372
pritomskiy,RU,36.37,66,98,9.13,53.7724,87.6082,1634953372
ignacio zaragoza,MX,54.75,43,28,6.02,28.3833,-107.2167,1634953373
arraial do cabo,BR,68.65,79,1,12.82,-22.9661,-42.0278,1634953373
hurghada,EG,71.64,56,0,11.5,27.2574,33.8129,1634953374
dukat,RU,5.31,72,99,1.48,62.55,155.55,1634953374
nouakchott,MR,75.13,50,100,12.5,18.0858,-15.9785,1634953374
parnamirim,BR,80.94,83,20,9.22,-5.9156,-35.2628,1634953375
sao cristovao,BR,78.71,89,75,5.75,-11.0147,-37.2064,1634953375
alikovo,RU,40.87,81,10,15.3,55.7383,46.7549,1634953376
pahalgam,IN,38.28,98,100,2.55,34.0333,75.3333,1634953376
hasaki,JP,63.28,56,1,15.43,35.7333,140.8333,1634953376
pinega,RU,29.28,90,100,8.63,64.7001,43.3936,1634953377
saskylakh,RU,-13.47,100,87,3.06,71.9167,114.0833,1634953086
filadelfia,US,58.69,79,1,1.01,39.9523,-75.1638,1634953086
krutikha,RU,37.08,63,100,19.1,53.9599,81.2093,1634953377
fairbanks,US,46.4,57,20,5.75,64.8378,-147.7164,1634953378
north bend,US,57.11,91,90,8.05,43.4065,-124.2243,1634953378
poya,NC,79.07,67,2,8.46,-21.35,165.15,1634953379
marienburg,PL,46.96,80,37,17.85,54.0359,19.0266,1634953379
katobu,ID,90.0,53,48,3.53,-4.9408,122.5276,1634953379
biak,ID,84.43,63,92,4.59,-0.9131,122.8766,1634953380
codrington,AU,56.79,76,62,14.47,-38.2667,141.9667,1634953380
itacoatiara,BR,79.9,73,100,2.35,-3.1431,-58.4442,1634953381
tabou,CI,76.35,90,46,6.6,4.423,-7.3528,1634953258
calama,CL,51.19,22,0,3.53,-22.4667,-68.9333,1634953381
susangerd,IR,68.02,25,0,9.08,31.5608,48.1831,1634953382
port hedland,AU,98.65,11,0,10.36,-20.3167,118.5667,1634953382
altay,CN,35.64,80,100,3.76,47.8667,88.1167,1634953383
mana,GF,77.83,89,96,11.05,5.6592,-53.7767,1634953159
nagato,JP,64.35,53,80,16.22,34.3833,131.2,1634953383
kosh-agach,RU,32.05,65,100,1.97,50.0,88.6667,1634953384
goroka,PG,77.97,47,100,2.33,-6.0834,145.3873,1634953384
urumqi,CN,34.75,93,90,6.71,43.801,87.6005,1634953384
kamaishi,JP,50.95,50,64,9.1,39.2667,141.8833,1634953385
eenhana,NA,67.75,28,3,1.45,-17.4667,16.3333,1634953385
kamra,PK,56.32,82,98,9.33,33.7473,73.5111,1634953385
isangel,VU,79.2,79,43,7.11,-19.55,169.2667,1634953386
westport,US,63.32,76,90,5.01,41.1415,-73.3579,1634953166
salamiyah,SY,61.65,56,5,3.85,35.0113,37.0532,1634953386
barcelos,PT,58.91,68,2,4.72,41.5388,-8.6151,1634953237
katsina,NG,77.16,61,71,11.7,12.9894,7.6006,1634953387
mpulungu,ZM,75.25,56,43,1.99,-8.7623,31.1141,1634953387
karratha,AU,94.37,18,9,18.9,-20.7377,116.8463,1634953388
sinegorye,RU,5.67,93,99,2.62,62.0788,150.477,1634953388
yulara,AU,78.64,25,0,18.41,-25.2406,130.9889,1634953389
baherden,TM,50.13,30,0,10.87,38.4362,57.4316,1634953389
jalu,LY,68.04,43,11,9.44,29.0331,21.5482,1634953390
jardim,BR,78.75,49,46,6.49,-21.4803,-56.1381,1634953234
the pas,CA,35.62,80,90,5.75,53.8251,-101.2541,1634953390
beloha,MG,64.98,81,100,10.98,-25.1667,45.05,1634953391
shirokiy,RU,45.45,56,8,10.89,49.758,129.523,1634953391
evensk,RU,12.61,65,82,5.35,61.95,159.2333,1634953392
atkinson,US,60.24,74,1,4.0,42.8384,-71.147,1634953392
kavaratti,IN,81.82,75,37,4.12,10.5669,72.642,1634953392
kulhudhuffushi,MV,81.48,76,92,10.0,6.6221,73.07,1634953393
milton,US,62.69,91,0,6.91,34.1322,-84.3007,1634953393
chara,RU,38.07,53,81,1.97,56.9064,118.2631,1634953394
pereslavl-zalesskiy,RU,40.37,76,100,13.35,56.7393,38.8563,1634953394
cervo,ES,44.19,85,11,10.36,43.6702,-7.4101,1634953395
maragogi,BR,77.34,85,7,7.07,-9.0122,-35.2225,1634953395
gasa,PS,66.18,58,0,9.57,31.5,34.4667,1634953395
cap malheureux,MU,73.47,86,84,4.0,-19.9842,57.6142,1634953396
tarakan,ID,78.3,83,75,2.3,3.3,117.6333,1634953396
dunedin,NZ,60.8,61,90,13.0,-45.8742,170.5036,1634953335
okhotsk,RU,23.18,72,26,14.0,59.3833,143.3,1634953397
ust-omchug,RU,10.0,89,100,3.62,61.15,149.6333,1634953397
yeniseysk,RU,36.32,69,100,10.58,58.4497,92.1703,1634953397
vrede,ZA,50.16,46,0,2.44,-27.4257,29.1659,1634953398
vila velha,BR,69.75,88,20,0.0,-20.3297,-40.2925,1634953398
inongo,CD,71.31,92,99,2.35,-1.95,18.2667,1634953399
mareeba,AU,91.33,54,36,8.52,-17.0,145.4333,1634953399
morehead,US,54.14,91,1,0.0,37.2711,-87.1764,1634953122
muros,ES,55.24,90,5,5.1,42.7762,-9.0603,1634953400
ocean city,US,61.99,73,100,4.0,39.2776,-74.5746,1634953169
pundaguitan,PH,82.56,74,99,11.36,6.3711,126.1689,1634953400
kuvandyk,RU,44.22,76,1,12.33,51.4781,57.3552,1634953401
kalininsk,RU,48.07,88,99,8.59,51.5,44.4758,1634953401
pevek,RU,12.9,91,100,7.02,69.7008,170.3133,1634953401
melipilla,CL,63.41,77,0,2.28,-33.7,-71.2167,1634953402
boende,CD,68.56,95,98,1.68,-0.2167,20.8667,1634953402
piotrkow trybunalski,PL,43.11,81,36,17.49,51.4055,19.7032,1634953268
arona,ES,68.76,71,75,9.22,28.0996,-16.681,1634953403
porto murtinho,BR,83.8,43,58,6.51,-21.6989,-57.8825,1634953403
veraval,IN,77.97,68,30,8.03,20.9,70.3667,1634953404
areosa,PT,59.31,68,11,3.22,41.7178,-8.8571,1634953404
sovetskiy,RU,41.59,93,100,10.47,61.3614,63.5842,1634953404
nova bana,SK,46.56,70,64,8.08,48.4231,18.6404,1634953405
tripoli,LY,77.76,45,76,11.97,32.8752,13.1875,1634953198
pontes e lacerda,BR,78.85,76,66,4.14,-15.2261,-59.3353,1634953406
coahuayana,MX,80.08,91,100,3.94,18.7333,-103.6833,1634953406
vila franca do campo,PT,70.21,84,96,6.31,37.7167,-25.4333,1634953407
bamora,IN,69.64,66,2,3.87,24.0552,78.0909,1634953407
sao joao da barra,BR,69.15,80,17,6.8,-21.6403,-41.0511,1634953407
chaplynka,UA,55.54,86,100,8.48,46.3651,33.5403,1634953408
oliver,CA,52.05,93,100,1.14,49.1831,-119.5524,1634953408
sola,VU,81.28,75,87,11.86,-13.8833,167.55,1634953409
indianola,US,43.92,85,93,3.87,41.3581,-93.5574,1634953409
bengkulu,ID,81.66,73,95,0.6,-3.8004,102.2655,1634953409
viet tri,VN,66.15,70,100,1.77,21.3019,105.4308,1634953410
saint-pierre,RE,73.04,78,0,5.75,-21.3393,55.4781,1634953111
vetlanda,SE,37.54,76,87,9.28,57.4289,15.0776,1634953410
pangnirtung,CA,28.4,69,75,8.05,66.1451,-65.7125,1634953411
wonthaggi,AU,58.19,92,100,14.58,-38.6044,145.5913,1634953411
wanning,CN,71.91,87,96,15.08,18.8003,110.3967,1634953412
yumen,CN,45.16,27,0,14.7,40.2833,97.2,1634953412
port hardy,CA,48.38,87,90,6.91,50.6996,-127.4199,1634953412
victoria,HK,68.32,75,80,1.99,22.2855,114.1577,1634953411
pallipattu,IN,74.55,84,100,2.71,13.3386,79.4449,1634953413
dayong,CN,69.89,80,100,4.23,25.0209,118.2898,1634953413
kireka,UG,61.77,96,42,2.17,0.3475,32.6492,1634953414
cayhagan,PH,82.89,72,80,4.85,9.6697,122.4256,1634953414
waddan,LY,72.75,32,62,13.0,29.1614,16.139,1634953415
narsaq,GL,37.62,99,100,2.39,60.9167,-46.05,1634953415
kavieng,PG,84.97,67,21,13.56,-2.5744,150.7967,1634953415
dali,CN,56.62,88,86,2.42,25.7,100.1833,1634953416
chadiza,ZM,68.4,55,12,1.79,-14.0678,32.4392,1634953416
hualmay,PE,62.69,84,39,9.01,-11.0964,-77.6139,1634953416
richards bay,ZA,66.81,88,3,3.09,-28.783,32.0377,1634953417
nice,FR,49.03,76,0,6.02,44.0,7.25,1634953417
noumea,NC,82.38,75,4,9.44,-22.2763,166.4572,1634953199
robertsport,LR,77.4,86,100,5.19,6.7533,-11.3686,1634953418
broken hill,AU,67.71,42,40,17.27,-31.95,141.4333,1634953418
severodvinsk,RU,30.31,86,100,13.2,64.5635,39.8302,1634953418
gravdal,NO,38.05,51,99,4.68,68.1214,13.5031,1634953419
itanhaem,BR,73.26,90,15,6.91,-24.1831,-46.7889,1634953419
tilichiki,RU,10.81,80,16,6.04,60.4667,166.1,1634953420
manvi,IN,73.83,69,100,4.38,15.9833,77.05,1634953420
douentza,ML,85.24,28,68,3.51,14.9951,-2.9517,1634953420
valparaiso,CL,53.24,58,0,4.61,-33.0393,-71.6273,1634953421
souillac,MU,73.36,94,75,6.91,-20.5167,57.5167,1634953190
porto nacional,BR,75.2,84,100,2.57,-10.7081,-48.4172,1634953422
heyang,CN,49.17,81,96,4.56,26.1011,107.473,1634953422
todos santos,MX,81.1,83,0,5.35,23.45,-110.2167,1634953422
borovskoy,KZ,44.24,73,89,17.29,53.8,64.15,1634953423
puerto escondido,MX,76.51,88,100,3.76,15.85,-97.0667,1634953423
lodja,CD,68.31,98,99,0.49,-3.4833,23.4333,1634953423
kharp,RU,25.27,97,100,4.61,66.8014,65.8081,1634953424
pathein,MM,79.38,85,100,1.97,16.7833,94.7333,1634953424
nioro,GM,75.33,79,40,5.21,13.35,-15.75,1634953425
necochea,AR,52.03,91,100,4.47,-38.5473,-58.7368,1634953340
rundu,NA,74.98,55,31,3.36,-17.9333,19.7667,1634953425
saint-georges,GD,82.08,83,75,16.11,12.0564,-61.7485,1634953426
ridgecrest,US,71.46,38,75,8.01,35.6225,-117.6709,1634953426
karur,IN,78.85,83,100,3.89,10.95,78.0833,1634953426
astana,KZ,37.35,93,75,22.37,51.1801,71.446,1634953427
begunitsy,RU,41.38,84,99,12.8,59.5855,29.3176,1634953427
rzhaksa,RU,44.62,71,7,9.24,52.1338,42.0264,1634953427
marquette,US,40.33,81,97,6.33,46.5333,-87.6335,1634953395
iquique,CL,60.84,74,46,2.1,-20.2208,-70.1431,1634953336
basse,DE,45.19,81,0,10.36,52.5518,9.5069,1634953428
korla,CN,56.3,26,100,10.78,41.7597,86.1469,1634953429
gboko,NG,71.87,97,100,6.26,7.3179,8.9951,1634953376
ginosa,IT,65.62,74,10,2.98,40.5801,16.7561,1634953429
dzhebariki-khaya,RU,20.61,90,98,2.53,62.2167,135.8,1634953430
bardsir,IR,35.65,41,0,1.97,29.9227,56.5743,1634953430
bull savanna,JM,76.98,86,91,8.16,17.8868,-77.5902,1634953430
sioux lookout,CA,39.27,81,90,4.61,50.1001,-91.917,1634953369
novobiryusinskiy,RU,39.6,78,100,10.02,56.9578,97.7076,1634953431
comodoro rivadavia,AR,57.06,30,20,34.52,-45.8667,-67.5,1634953431
novyy urengoy,RU,28.0,92,100,9.1,66.0833,76.6333,1634953432
bolkhov,RU,41.7,69,55,13.4,53.4433,36.0044,1634953432
mountain home,US,47.68,100,20,8.05,43.133,-115.6912,1634953307
cabo san lucas,MX,81.61,74,0,4.0,22.8909,-109.9124,1634953433
luanda,AO,75.42,85,98,9.62,-8.8368,13.2343,1634953274
soma,TR,48.38,68,0,0.45,39.1855,27.6094,1634953434
bucerias,MX,85.98,74,90,0.0,20.75,-105.3333,1634953332
nioki,CD,70.99,94,78,0.29,-2.7167,17.6833,1634953434
