City,Country,Latitude,Temperature,Humidity,Cloudiness,Windspeed,Date
tuktoyaktuk,CA,69.4541,33.8,100,90,13.8,1634953327
teberda,RU,43.4456,44.91,34,0,4.65,1634953328
roma,US,43.2128,41.67,91,1,0.0,1634953328
iztapa,GT,13.9333,82.63,86,64,7.16,1634953160
camana,PE,-16.6228,62.76,77,75,8.84,1634953045
zilupe,LV,56.3862,40.78,84,100,10.67,1634953329
lagoa,PT,39.05,67.55,85,43,13.58,1634953105
colares,PT,38.7992,63.34,61,6,8.99,1634953330
hithadhoo,MV,-0.6,82.18,73,100,11.77,1634953330
airai,TL,-8.9266,79.79,40,60,1.68,1634953104
nishihara,JP,26.1842,74.86,61,75,12.66,1634953331
luderitz,NA,-26.6481,54.84,87,0,7.58,1634953331
leningradskiy,RU,69.3833,4.73,85,44,8.63,1634953332
kapaa,US,22.0752,82.38,81,40,11.5,1634953332
mwense,ZM,-10.3845,71.6,76,95,0.85,1634953332
torbay,CA,47.6666,52.57,85,90,5.75,1634953333
laramie,US,41.3114,52.25,49,1,6.91,1634953333
sotouboua,TG,8.5667,72.75,93,100,2.15,1634953334
ginir,ET,7.1333,59.72,52,89,3.38,1634953334
torfyanoy,RU,58.4916,43.68,72,100,14.45,1634953335
acapulco,MX,16.8634,78.62,89,90,5.75,1634953286
anadyr,RU,64.75,12.7,85,75,15.66,1634953335
leshukonskoye,RU,64.8989,27.55,93,100,8.52,1634953335
nelson bay,AU,-32.7167,87.3,72,1,4.0,1634953336
tasiilaq,GL,65.6145,35.76,92,100,11.36,1634953336
tuatapere,NZ,-46.1333,66.18,52,93,5.46,1634953337
shache,CN,38.4167,49.48,28,100,7.81,1634953337
bambanglipuro,ID,-7.95,70.61,69,100,6.31,1634953338
avarua,CK,-21.2078,75.25,60,100,5.75,1634953338
tura,IN,25.5198,71.82,71,0,2.48,1634953338
mar del plata,AR,-38.0023,56.08,89,90,1.01,1634953339
malakal,SS,9.5334,75.22,70,23,1.5,1634953339
tiznit,MA,29.5833,60.84,70,0,0.56,1634953340
ribeira grande,PT,38.5167,68.76,87,13,10.33,1634953340
lata,PT,40.1629,57.81,69,0,3.87,1634953340
mujiayingzi,CN,42.1167,47.52,31,0,4.47,1634953341
melong,CM,5.1218,66.49,99,100,0.96,1634953341
damara,CF,4.9608,74.62,95,93,2.01,1634953342
norman wells,CA,65.282,42.84,70,20,14.97,1634953342
fortuna,US,40.5982,57.36,73,90,5.01,1634953343
vestbjerg,DK,57.1317,48.67,65,4,12.66,1634953343
sechura,PE,-5.5569,66.94,80,100,13.89,1634953343
moron,AR,-34.6534,60.49,90,100,5.01,1634953344
makoshyne,UA,51.46,44.8,68,3,11.88,1634953344
saratoga springs,US,43.0831,49.32,80,22,4.68,1634953066
zhuhai,CN,22.2769,68.05,82,40,19.57,1634953124
toul,FR,48.6667,46.49,93,0,3.44,1634953345
kollam,IN,8.8833,80.47,83,93,4.63,1634953339
ankang,CN,32.68,58.55,63,100,4.03,1634953346
bethel,US,41.3712,60.93,73,90,4.61,1634953346
sitka,US,57.0531,48.09,66,75,11.5,1634953167
la palma,US,33.8464,69.31,79,1,4.0,1634953347
srednebelaya,RU,50.6594,48.58,52,1,5.3,1634953347
faanui,PF,-16.4833,78.33,83,77,19.51,1634953347
samarai,PG,-10.6167,81.95,74,100,13.82,1634953348
carutapera,BR,-1.195,77.02,93,94,5.91,1634953348
lazaro cardenas,MX,17.9583,78.37,86,100,4.52,1634953098
montepuez,MZ,-13.1256,66.7,80,8,3.91,1634953349
upernavik,GL,72.7868,21.15,82,100,5.7,1634953349
severo-kurilsk,RU,50.6789,42.04,72,39,13.18,1634953069
aguilas,ES,37.4063,64.33,75,92,7.72,1634953350
hilo,US,19.7297,78.53,80,90,10.36,1634953350
marzuq,YE,14.4,69.82,62,7,2.64,1634953351
bursa,TR,40.1667,37.44,53,0,2.59,1634953134
atamanovka,RU,51.93,27.03,50,0,2.17,1634953351
khani,GE,41.9563,36.97,56,0,5.26,1634953352
naze,JP,28.3667,70.72,56,89,14.94,1634953352
patur,IN,20.45,70.92,65,51,1.52,1634953352
nhulunbuy,AU,-12.2333,90.21,58,75,12.66,1634953353
nizhnyaya poyma,RU,56.1622,38.68,82,100,9.8,1634953353
praia da vitoria,PT,38.7333,67.75,94,40,5.46,1634953308
sarangani,PH,5.4033,80.8,81,100,11.97,1634953354
puerto ayora,EC,-0.7393,69.89,86,20,8.21,1634953116
constitucion,CL,-35.3333,49.17,84,1,13.13,1634953354
lima,PE,-12.0432,62.91,80,90,13.8,1634953306
sungairaya,ID,0.7,84.72,66,13,2.37,1634953355
tokur,RU,53.1333,31.55,90,100,5.39,1634953355
imeni morozova,RU,59.9757,45.01,1,100,14.45,1634953356
tiksi,RU,71.6872,4.1,96,100,2.24,1634953356
forbes,AU,-33.3833,88.92,26,78,7.7,1634953356
ornskoldsvik,SE,63.2909,30.02,93,75,12.66,1634953357
guerrero negro,MX,27.9769,66.99,81,0,15.68,1634953091
knysna,ZA,-34.0363,64.78,62,100,7.83,1634953357
axim,GH,4.8699,77.49,85,100,6.26,1634953358
lebu,CL,-37.6167,50.67,66,63,16.55,1634953358
shingu,JP,33.7333,65.39,38,0,2.93,1634953359
pitimbu,BR,-7.4706,79.39,78,15,10.69,1634953359
ruwi,OM,23.5996,80.29,62,0,3.42,1634953360
oranjemund,NA,-28.55,56.82,81,0,16.64,1634953187
hofn,IS,64.2539,46.98,98,100,16.37,1634953360
santiago de cao,PE,-7.9589,60.93,88,90,10.36,1634953361
khatanga,RU,71.9667,1.99,94,98,11.23,1634953361
puerto madero,MX,14.7208,80.26,77,56,4.76,1634953361
paamiut,GL,61.994,34.86,70,6,20.45,1634953362
grindavik,IS,63.8424,47.89,100,90,16.11,1634953362
monster,NL,52.0258,51.98,78,75,1.99,1634953362
ahipara,NZ,-35.1667,60.71,94,100,19.77,1634953363
finschhafen,PG,-6.6024,84.78,65,100,10.67,1634953363
ambo,PE,-10.1308,65.86,75,76,3.96,1634953364
linxia,CN,35.6003,47.59,75,91,2.04,1634953364
san quintin,MX,30.4833,63.99,84,5,16.44,1634953364
zhigalovo,RU,54.8097,38.1,66,75,1.77,1634953365
port blair,IN,11.6667,76.08,90,100,9.24,1634953365
moratuwa,LK,6.773,77.02,76,16,6.02,1634953366
plouzane,FR,48.3833,44.65,97,0,5.75,1634953366
santa clara,CU,22.4,74.17,100,40,1.14,1634953367
mount gambier,AU,-37.8333,55.31,76,90,13.8,1634953367
praia,CV,14.9215,77.54,69,20,9.22,1634953139
lapuan,PH,6.1444,82.56,75,100,9.01,1634953368
ouadda,CF,8.0777,67.64,90,65,2.73,1634953368
cartagena,CO,10.3997,83.82,79,75,9.22,1634953369
mehamn,NO,71.0357,32.86,66,100,14.58,1634953369
kahului,US,20.8947,84.22,69,20,19.57,1634953369
kamenka,RU,51.3223,50.11,71,100,9.6,1634953370
berlevag,NO,70.8578,33.78,63,100,18.97,1634953370
chardara,KZ,41.2547,43.09,52,12,6.38,1634953370
phalombe,MW,-15.8064,68.27,62,0,2.59,1634953371
namibe,AO,-15.1961,64.51,69,68,9.51,1634953195
lucapa,AO,-8.4192,64.81,99,66,3.18,1634953372
tautira,PF,-17.7333,73.42,87,67,33.31,1634953143
vestby,NO,59.6024,44.78,56,10,4.81,1634953372
pritomskiy,RU,53.7724,36.37,66,98,9.13,1634953372
ignacio zaragoza,MX,28.3833,54.75,43,28,6.02,1634953373
arraial do cabo,BR,-22.9661,68.65,79,1,12.82,1634953373
hurghada,EG,27.2574,71.64,56,0,11.5,1634953374
dukat,RU,62.55,5.31,72,99,1.48,1634953374
nouakchott,MR,18.0858,75.13,50,100,12.5,1634953374
parnamirim,BR,-5.9156,80.94,83,20,9.22,1634953375
sao cristovao,BR,-11.0147,78.71,89,75,5.75,1634953375
alikovo,RU,55.7383,40.87,81,10,15.3,1634953376
pahalgam,IN,34.0333,38.28,98,100,2.55,1634953376
hasaki,JP,35.7333,63.28,56,1,15.43,1634953376
pinega,RU,64.7001,29.28,90,100,8.63,1634953377
saskylakh,RU,71.9167,-13.47,100,87,3.06,1634953086
filadelfia,US,39.9523,58.69,79,1,1.01,1634953086
krutikha,RU,53.9599,37.08,63,100,19.1,1634953377
fairbanks,US,64.8378,46.4,57,20,5.75,1634953378
north bend,US,43.4065,57.11,91,90,8.05,1634953378
poya,NC,-21.35,79.07,67,2,8.46,1634953379
marienburg,PL,54.0359,46.96,80,37,17.85,1634953379
katobu,ID,-4.9408,90.0,53,48,3.53,1634953379
biak,ID,-0.9131,84.43,63,92,4.59,1634953380
codrington,AU,-38.2667,56.79,76,62,14.47,1634953380
itacoatiara,BR,-3.1431,79.9,73,100,2.35,1634953381
tabou,CI,4.423,76.35,90,46,6.6,1634953258
calama,CL,-22.4667,51.19,22,0,3.53,1634953381
susangerd,IR,31.5608,68.02,25,0,9.08,1634953382
port hedland,AU,-20.3167,98.65,11,0,10.36,1634953382
altay,CN,47.8667,35.64,80,100,3.76,1634953383
mana,GF,5.6592,77.83,89,96,11.05,1634953159
nagato,JP,34.3833,64.35,53,80,16.22,1634953383
kosh-agach,RU,50.0,32.05,65,100,1.97,1634953384
goroka,PG,-6.0834,77.97,47,100,2.33,1634953384
urumqi,CN,43.801,34.75,93,90,6.71,1634953384
kamaishi,JP,39.2667,50.95,50,64,9.1,1634953385
eenhana,NA,-17.4667,67.75,28,3,1.45,1634953385
kamra,PK,33.7473,56.32,82,98,9.33,1634953385
isangel,VU,-19.55,79.2,79,43,7.11,1634953386
westport,US,41.1415,63.32,76,90,5.01,1634953166
salamiyah,SY,35.0113,61.65,56,5,3.85,1634953386
barcelos,PT,41.5388,58.91,68,2,4.72,1634953237
katsina,NG,12.9894,77.16,61,71,11.7,1634953387
mpulungu,ZM,-8.7623,75.25,56,43,1.99,1634953387
karratha,AU,-20.7377,94.37,18,9,18.9,1634953388
sinegorye,RU,62.0788,5.67,93,99,2.62,1634953388
yulara,AU,-25.2406,78.64,25,0,18.41,1634953389
baherden,TM,38.4362,50.13,30,0,10.87,1634953389
jalu,LY,29.0331,68.04,43,11,9.44,1634953390
jardim,BR,-21.4803,78.75,49,46,6.49,1634953234
the pas,CA,53.8251,35.62,80,90,5.75,1634953390
beloha,MG,-25.1667,64.98,81,100,10.98,1634953391
shirokiy,RU,49.758,45.45,56,8,10.89,1634953391
evensk,RU,61.95,12.61,65,82,5.35,1634953392
atkinson,US,42.8384,60.24,74,1,4.0,1634953392
kavaratti,IN,10.5669,81.82,75,37,4.12,1634953392
kulhudhuffushi,MV,6.6221,81.48,76,92,10.0,1634953393
milton,US,34.1322,62.69,91,0,6.91,1634953393
chara,RU,56.9064,38.07,53,81,1.97,1634953394
pereslavl-zalesskiy,RU,56.7393,40.37,76,100,13.35,1634953394
cervo,ES,43.6702,44.19,85,11,10.36,1634953395
maragogi,BR,-9.0122,77.34,85,7,7.07,1634953395
gasa,PS,31.5,66.18,58,0,9.57,1634953395
cap malheureux,MU,-19.9842,73.47,86,84,4.0,1634953396
tarakan,ID,3.3,78.3,83,75,2.3,1634953396
dunedin,NZ,-45.8742,60.8,61,90,13.0,1634953335
okhotsk,RU,59.3833,23.18,72,26,14.0,1634953397
ust-omchug,RU,61.15,10.0,89,100,3.62,1634953397
yeniseysk,RU,58.4497,36.32,69,100,10.58,1634953397
vrede,ZA,-27.4257,50.16,46,0,2.44,1634953398
vila velha,BR,-20.3297,69.75,88,20,0.0,1634953398
inongo,CD,-1.95,71.31,92,99,2.35,1634953399
mareeba,AU,-17.0,91.33,54,36,8.52,1634953399
morehead,US,37.2711,54.14,91,1,0.0,1634953122
muros,ES,42.7762,55.24,90,5,5.1,1634953400
ocean city,US,39.2776,61.99,73,100,4.0,1634953169
pundaguitan,PH,6.3711,82.56,74,99,11.36,1634953400
kuvandyk,RU,51.4781,44.22,76,1,12.33,1634953401
kalininsk,RU,51.5,48.07,88,99,8.59,1634953401
pevek,RU,69.7008,12.9,91,100,7.02,1634953401
melipilla,CL,-33.7,63.41,77,0,2.28,1634953402
boende,CD,-0.2167,68.56,95,98,1.68,1634953402
piotrkow trybunalski,PL,51.4055,43.11,81,36,17.49,1634953268
arona,ES,28.0996,68.76,71,75,9.22,1634953403
porto murtinho,BR,-21.6989,83.8,43,58,6.51,1634953403
veraval,IN,20.9,77.97,68,30,8.03,1634953404
areosa,PT,41.7178,59.31,68,11,3.22,1634953404
sovetskiy,RU,61.3614,41.59,93,100,10.47,1634953404
nova bana,SK,48.4231,46.56,70,64,8.08,1634953405
tripoli,LY,32.8752,77.76,45,76,11.97,1634953198
pontes e lacerda,BR,-15.2261,78.85,76,66,4.14,1634953406
coahuayana,MX,18.7333,80.08,91,100,3.94,1634953406
vila franca do campo,PT,37.7167,70.21,84,96,6.31,1634953407
bamora,IN,24.0552,69.64,66,2,3.87,1634953407
sao joao da barra,BR,-21.6403,69.15,80,17,6.8,1634953407
chaplynka,UA,46.3651,55.54,86,100,8.48,1634953408
oliver,CA,49.1831,52.05,93,100,1.14,1634953408
sola,VU,-13.8833,81.28,75,87,11.86,1634953409
indianola,US,41.3581,43.92,85,93,3.87,1634953409
bengkulu,ID,-3.8004,81.66,73,95,0.6,1634953409
viet tri,VN,21.3019,66.15,70,100,1.77,1634953410
saint-pierre,RE,-21.3393,73.04,78,0,5.75,1634953111
vetlanda,SE,57.4289,37.54,76,87,9.28,1634953410
pangnirtung,CA,66.1451,28.4,69,75,8.05,1634953411
wonthaggi,AU,-38.6044,58.19,92,100,14.58,1634953411
wanning,CN,18.8003,71.91,87,96,15.08,1634953412
yumen,CN,40.2833,45.16,27,0,14.7,1634953412
port hardy,CA,50.6996,48.38,87,90,6.91,1634953412
victoria,HK,22.2855,68.32,75,80,1.99,1634953411
pallipattu,IN,13.3386,74.55,84,100,2.71,1634953413
dayong,CN,25.0209,69.89,80,100,4.23,1634953413
kireka,UG,0.3475,61.77,96,42,2.17,1634953414
cayhagan,PH,9.6697,82.89,72,80,4.85,1634953414
waddan,LY,29.1614,72.75,32,62,13.0,1634953415
narsaq,GL,60.9167,37.62,99,100,2.39,1634953415
kavieng,PG,-2.5744,84.97,67,21,13.56,1634953415
dali,CN,25.7,56.62,88,86,2.42,1634953416
chadiza,ZM,-14.0678,68.4,55,12,1.79,1634953416
hualmay,PE,-11.0964,62.69,84,39,9.01,1634953416
richards bay,ZA,-28.783,66.81,88,3,3.09,1634953417
nice,FR,44.0,49.03,76,0,6.02,1634953417
noumea,NC,-22.2763,82.38,75,4,9.44,1634953199
robertsport,LR,6.7533,77.4,86,100,5.19,1634953418
broken hill,AU,-31.95,67.71,42,40,17.27,1634953418
severodvinsk,RU,64.5635,30.31,86,100,13.2,1634953418
gravdal,NO,68.1214,38.05,51,99,4.68,1634953419
itanhaem,BR,-24.1831,73.26,90,15,6.91,1634953419
tilichiki,RU,60.4667,10.81,80,16,6.04,1634953420
manvi,IN,15.9833,73.83,69,100,4.38,1634953420
douentza,ML,14.9951,85.24,28,68,3.51,1634953420
valparaiso,CL,-33.0393,53.24,58,0,4.61,1634953421
souillac,MU,-20.5167,73.36,94,75,6.91,1634953190
porto nacional,BR,-10.7081,75.2,84,100,2.57,1634953422
heyang,CN,26.1011,49.17,81,96,4.56,1634953422
todos santos,MX,23.45,81.1,83,0,5.35,1634953422
borovskoy,KZ,53.8,44.24,73,89,17.29,1634953423
puerto escondido,MX,15.85,76.51,88,100,3.76,1634953423
lodja,CD,-3.4833,68.31,98,99,0.49,1634953423
kharp,RU,66.8014,25.27,97,100,4.61,1634953424
pathein,MM,16.7833,79.38,85,100,1.97,1634953424
nioro,GM,13.35,75.33,79,40,5.21,1634953425
necochea,AR,-38.5473,52.03,91,100,4.47,1634953340
rundu,NA,-17.9333,74.98,55,31,3.36,1634953425
saint-georges,GD,12.0564,82.08,83,75,16.11,1634953426
ridgecrest,US,35.6225,71.46,38,75,8.01,1634953426
karur,IN,10.95,78.85,83,100,3.89,1634953426
astana,KZ,51.1801,37.35,93,75,22.37,1634953427
begunitsy,RU,59.5855,41.38,84,99,12.8,1634953427
rzhaksa,RU,52.1338,44.62,71,7,9.24,1634953427
marquette,US,46.5333,40.33,81,97,6.33,1634953395
iquique,CL,-20.2208,60.84,74,46,2.1,1634953336
basse,DE,52.5518,45.19,81,0,10.36,1634953428
korla,CN,41.7597,56.3,26,100,10.78,1634953429
gboko,NG,7.3179,71.87,97,100,6.26,1634953376
ginosa,IT,40.5801,65.62,74,10,2.98,1634953429
dzhebariki-khaya,RU,62.2167,20.61,90,98,2.53,1634953430
bardsir,IR,29.9227,35.65,41,0,1.97,1634953430
bull savanna,JM,17.8868,76.98,86,91,8.16,1634953430
sioux lookout,CA,50.1001,39.27,81,90,4.61,1634953369
novobiryusinskiy,RU,56.9578,39.6,78,100,10.02,1634953431
comodoro rivadavia,AR,-45.8667,57.06,30,20,34.52,1634953431
novyy urengoy,RU,66.0833,28.0,92,100,9.1,1634953432
bolkhov,RU,53.4433,41.7,69,55,13.4,1634953432
mountain home,US,43.133,47.68,100,20,8.05,1634953307
cabo san lucas,MX,22.8909,81.61,74,0,4.0,1634953433
luanda,AO,-8.8368,75.42,85,98,9.62,1634953274
soma,TR,39.1855,48.38,68,0,0.45,1634953434
bucerias,MX,20.75,85.98,74,90,0.0,1634953332
nioki,CD,-2.7167,70.99,94,78,0.29,1634953434
kafue,ZM,-15.7691,71.51,45,45,2.86,1634953435
srednekolymsk,RU,67.45,-1.53,89,54,1.16,1634953435
fuxin,CN,42.0156,53.08,29,0,4.56,1634953151
ilulissat,GL,69.2167,19.42,58,98,11.5,1634953436
stokmarknes,NO,68.5646,33.49,50,98,0.87,1634953436
alapur,IN,27.9555,71.91,65,0,2.17,1634953437
bealanana,MG,-14.55,63.93,93,92,1.79,1634953437
coquimbo,CL,-29.9533,55.13,87,0,9.22,1634953396
saposoa,PE,-6.934,84.81,77,86,2.98,1634953438
port macquarie,AU,-31.4333,82.89,62,2,13.42,1634953438
bay roberts,CA,47.5999,53.33,89,100,5.41,1634953381
muqui,BR,-20.956,64.58,89,88,1.34,1634953438
hazorasp,UZ,41.3194,35.44,42,3,9.19,1634953439
nyurba,RU,63.2842,34.59,85,43,7.96,1634953439
san juan bautista,PE,-14.0108,56.17,58,25,1.3,1634953440
olafsvik,IS,64.8945,45.34,94,100,8.75,1634953440
porto novo,BJ,6.4965,78.62,86,100,5.61,1634953440
pathum thani,TH,14.0833,80.58,94,40,6.91,1634953441
idappadi,IN,11.5833,76.3,88,100,1.88,1634953441
ruidoso,US,33.3317,59.52,39,1,6.91,1634953442
letlhakeng,BW,-24.0944,64.9,17,0,3.76,1634953442
khorinsk,RU,52.1657,38.07,48,0,2.73,1634953443
chato,TZ,-2.6378,67.21,76,11,3.67,1634953443
cachoeira do sul,BR,-30.0392,60.26,77,0,7.96,1634953443
shasta lake,US,40.6804,58.08,85,100,1.01,1634953444
rolante,BR,-29.6506,66.25,92,3,3.11,1634953444
faya,SA,18.3851,55.51,36,98,6.02,1634953445
orange cove,US,36.6244,71.65,65,99,8.7,1634953445
vardo,NO,70.3705,35.06,60,100,20.42,1634953445
tenenkou,ML,14.4572,83.44,51,74,6.73,1634953446
itoman,JP,26.1247,75.58,59,75,12.66,1634953446
bulgan,MN,48.8125,38.19,37,0,2.1,1634953447
hambantota,LK,6.1241,75.54,100,20,4.61,1634953447
azul,AR,-36.777,55.35,97,100,6.31,1634953447
general pico,AR,-35.6566,56.32,86,92,2.33,1634953330
samoded,RU,63.6083,30.0,97,100,9.04,1634953448
gorontalo,ID,0.5412,79.52,83,99,1.74,1634953448
zhanakorgan,KZ,43.9098,40.48,48,61,5.66,1634953449
houston,US,29.7633,80.74,79,75,3.0,1634953410
saldanha,ZA,-33.0117,58.46,82,100,22.19,1634953449
menongue,AO,-14.6585,65.44,73,16,4.76,1634953450
chake chake,TZ,-5.2459,72.75,81,67,2.06,1634953450
puerto penasco,MX,31.3167,76.91,75,0,1.99,1634953316
pasni,PK,25.2631,76.21,24,0,8.88,1634953451
yarada,IN,17.65,79.12,94,40,4.61,1634953191
marawi,PH,7.9986,73.65,72,100,2.86,1634953452
kodinsk,RU,58.6881,40.33,74,100,9.95,1634953452
edd,ER,13.9297,84.04,72,6,6.08,1634953452
grand gaube,MU,-20.0064,73.38,86,84,5.99,1634953453
hervey bay,AU,-25.2986,86.04,83,6,19.62,1634953453
sorong,ID,-0.8833,84.99,60,52,1.57,1634953453
shimoda,JP,34.6667,64.76,69,65,5.64,1634953454
ojinaga,MX,29.5667,84.42,39,1,10.36,1634953454
alice springs,AU,-23.7,80.15,28,0,17.27,1634953288
straubing,DE,48.8833,44.58,74,100,7.07,1634953455
miandrivazo,MG,-19.5167,71.11,73,91,1.39,1634953455
valkeala,FI,60.9401,34.2,100,90,4.61,1634953456
svetlogorsk,BY,52.6333,43.29,59,14,14.72,1634953456
caravelas,BR,-17.7125,73.56,85,97,6.11,1634953457
beni mazar,EG,28.4962,66.42,78,22,14.14,1634953457
anlu,CN,31.1661,61.32,46,34,1.01,1634953457
nikki,BJ,9.9401,72.32,92,99,5.08,1634953458
oksfjord,NO,70.2396,32.92,91,100,3.49,1634953458
murray bridge,AU,-35.1167,66.43,36,8,18.86,1634953459
genhe,CN,50.7833,39.4,56,9,4.63,1634953459
beringovskiy,RU,63.05,17.4,80,100,14.25,1634953459
padang,ID,-0.9492,83.35,73,95,0.65,1634953460
